"ar,c,rho",0.45249999999999996;0.45499999999999996,0.7024999999999999;0.705,0.51;0.5125,8,0.001,2,2
"ar,c,rho",0.6253125000000002;0.62640625,0.2478125;0.24828125,1.30921875;1.3127343750000002,8,0.001,2,2
"ar,c,rho",0.44999999999999996;0.45249999999999996,0.7024999999999999;0.705,0.5125;0.515,8,0.001,2,2
"ar,c,rho",0.46749999999999997;0.47,0.6699999999999999;0.6724999999999999,0.5025;0.505,8,0.001,2,2
"ar,c,rho",0.45249999999999996;0.45499999999999996,0.7;0.7024999999999999,0.5125;0.515,8,0.001,2,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16546875;0.1659375,1.6783593749999999;1.681875,9,0.001,1,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.1659375;0.16640624999999998,1.671328125;1.67484375,9,0.001,1,2
"ar,c,rho",0.44999999999999996;0.45249999999999996,0.7;0.7024999999999999,0.51;0.5125,9,0.001,1,2
"ar,c,rho",0.62640625;0.6275000000000001,0.24828125;0.24875,1.3127343750000002;1.3162500000000001,9,0.001,1,2
"ar,c,rho",0.42;0.42499999999999993,0.44999999999999996;0.45499999999999996,0.48;0.485,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.25625;0.258125,1.65375;1.6678125000000001,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.25625;0.258125,1.6678125000000001;1.681875,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.258125;0.26,1.65375;1.6678125000000001,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.258125;0.26,1.6678125000000001;1.681875,10,0.001,0,2
"ar,c,rho",0.6110937500000001;0.6121875000000001,0.2534375;0.25390625,1.30921875;1.3127343750000002,10,0.001,0,2
"ar,c,rho",0.6100000000000001;0.6110937500000001,0.25390625;0.254375,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.6100000000000001;0.6110937500000001,0.25390625;0.254375,1.30921875;1.3127343750000002,10,0.001,0,2
"ar,c,rho",0.6100000000000001;0.6110937500000001,0.2534375;0.25390625,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.6100000000000001;0.6110937500000001,0.2534375;0.25390625,1.30921875;1.3127343750000002,10,0.001,0,2
