data,k41_low,k41_up,k42_low,k42_up
"k41,k42",1.0,1.0,1.035,1.035625,1
"k41,k42",0.9,0.9,1.13,1.130625,1
"k41,k42",1.0,1.0,1.0675,1.068125,1
"k41,k42",0.9,0.9,1.155,1.155625,1
"k41,k42",1.0525,1.053125,1.0,1.0,1
"k41,k42",1.035,1.035625,1.0,1.0,1
"k41,k42",0.93,0.930625,1.1,1.1,1
"k41,k42",0.9525000000000001,0.9531250000000001,1.1,1.1,1
"k41,k42",1.185,1.185625,1.0,1.0,1
"k41,k42",1.18,1.180625,1.0,1.0,1
"k41,k42",0.9,0.9,1.2825,1.283125,1
"k41,k42",0.9,0.9,1.285,1.285625,1
"k41,k42",0.9,0.9,1.27,1.270625,1
"k41,k42",1.075,1.075625,1.1,1.1,1
"k41,k42",1.07,1.070625,1.1,1.1,1
"k41,k42",0.9,0.9,1.2775,1.278125,1
"k41,k42",0.9,0.9,1.275,1.275625,1
"k41,k42",1.0725,1.073125,1.1,1.1,1
"k41,k42",1.075,1.075625,1.075,1.075625,1
"k41,k42",1.0,1.0,1.14,1.140625,1
"k41,k42",1.0,1.0,1.17,1.170625,1
"k41,k42",1.0,1.0,1.175,1.175625,1
"k41,k42",0.9,0.9,1.245,1.245625,1
"k41,k42",0.9,0.9,1.2425,1.243125,1
"k41,k42",1.0475,1.048125,1.1,1.1,1
"k41,k42",1.0,1.0,1.1825,1.183125,1
"k41,k42",1.0,1.0,1.1775,1.178125,1
"k41,k42",1.0,1.0,1.1475,1.148125,1
"k41,k42",1.0,1.0,1.185,1.185625,1
"k41,k42",1.04,1.040625,1.1,1.1,1
"k41,k42",0.9,0.9,1.28,1.280625,1
"k41,k42",1.0,1.0,1.145,1.145625,1
"k41,k42",0.9,0.9,1.24,1.240625,1
"k41,k42",1.0,1.0,1.18,1.180625,1
"k41,k42",0.53,0.530625,1.65,1.650625,1
"k41,k42",1.06125,1.061875,1.155,1.1559375,1
"k41,k42",1.06875,1.069375,1.15125,1.1521875,1
"k41,k42",1.06,1.060625,1.155,1.1559375,1
"k41,k42",1.05875,1.059375,1.16625,1.1671875,1
"k41,k42",1.055,1.055625,1.14,1.1409375,1
"k41,k42",1.05875,1.059375,1.1625,1.1634375,1
"k41,k42",1.0575,1.058125,1.16625,1.1671875,1
"k41,k42",1.0575,1.058125,1.1625,1.1634375,1
"k41,k42",1.295,1.295625,0.6325000000000001,0.633125,1
