c,k34
0.84142735871,0.84142735871 
1.4555555555555555,0.486412213740458
1.7166666666666668,0.4124271844660194
1.1944444444444444,0.5927441860465116
1.0532231404958676,0.6722222222222223
2,0.354
0.4111111111111111,1.7221621621621621
0.354,2
2,0.354
0.354,2
0.4111111111111111,1.7221621621621621
0.9333333333333335,0.7585714285714285
1.1944444444444444,0.5927441860465116
1.4555555555555555,0.486412213740458
1.7166666666666668,0.4124271844660194
1.9777777777777779,0.3579775280898876
2.238888888888889,0.31622828784119106
